Gene	average_expression	Freq	Gene_category	Proportion_zero
ENSDARG00000002872	-0.03653719456882178	1274	high zero count	0.11065751758881265
ENSDARG00000002877	0.7893177195596527	74	other	0.006427516720229306
ENSDARG00000002880	0.4571722190083088	2650	high zero count	0.23017458525145487
ENSDARG00000002894	0.5622610207941976	263	other	0.022843741857031183
ENSDARG00000002897	0.2802803692696754	268	other	0.023278033527316947
ENSDARG00000002909	0.2889097276636577	312	other	0.02709980022583167
ENSDARG00000002912	0.7711358904153888	48	other	0.004169200034743334
ENSDARG00000002916	0.023387643187003523	1370	high zero count	0.11899591765829931
ENSDARG00000002933	0.11646899828016322	1563	high zero count	0.1357595761313298
ENSDARG00000002937	0.13896790002696569	227	other	0.01971684183097368
ENSDARG00000002945	0.15541959977294895	2186	high zero count	0.189872318248936
ENSDARG00000002949	1.6111761569224008	40	other	0.0034743333622861113
ENSDARG00000002952	0.33060697196092015	33	other	0.002866325023886042
ENSDARG00000002967	1.38380259396144	72	other	0.006253800052115
ENSDARG00000002968	0.2988304714207499	735	other	0.06384087553200729
ENSDARG00000002970	1.1353737994893127	17	other	0.0014765916789715972
ENSDARG00000002971	0.2930566153475463	46	other	0.003995483366629028
ENSDARG00000002986	0.08324249143120449	3454	high zero count	0.30000868583340573
ENSDARG00000002988	1.718500008027061	1701	high zero count	0.14774602623121688
ENSDARG00000002991	0.19120476645491233	1279	high zero count	0.11109180925909841
ENSDARG00000002994	0.6156976598103024	561	other	0.04872752540606271
ENSDARG00000003008	0.3996834811912941	195	other	0.01693737514114479
ENSDARG00000003017	1.4599422914558018	1	other	8.685833405715279e-5
ENSDARG00000003021	0.7958635792077212	1019	other	0.08850864240423868
ENSDARG00000003022	-0.10049907778918805	1079	high zero count	0.09372014244766785
ENSDARG00000003027	0.18601101531639072	437	other	0.03795709198297577
ENSDARG00000003032	2.4013215370632013	3	other	2.6057500217145836e-4
ENSDARG00000003035	1.5352373999699018	7	other	6.080083384000695e-4
ENSDARG00000003054	0.2990398839681566	893	other	0.07756449231303744
ENSDARG00000003058	0.6679108413370285	150	other	0.013028750108572918
ENSDARG00000003061	0.01359462297131297	101	other	0.008772691739772432
ENSDARG00000003068	1.046308070249923	83	other	0.007209241726743681
ENSDARG00000003077	1.0141717773139212	565	other	0.04907495874229132
ENSDARG00000003081	1.0971511321473755	50	other	0.004342916702857639
ENSDARG00000003084	-0.1578104573807871	1998	high zero count	0.17354295144619125
ENSDARG00000003085	0.5576124688554793	122	other	0.010596716754972639
ENSDARG00000003087	0.2619050601884001	1302	high zero count	0.11308955094241292
ENSDARG00000003091	0.30418235575620894	441	other	0.03830452531920438
ENSDARG00000003109	0.5324350485699804	118	other	0.010249283418744029
ENSDARG00000003127	1.4566731787824831	5	other	4.342916702857639e-4
ENSDARG00000003142	0.24316969820906836	405	other	0.03517762529314688
ENSDARG00000003151	1.970519972250319	5	other	4.342916702857639e-4
ENSDARG00000003153	0.6304163635131349	54	other	0.00469035003908625
ENSDARG00000003157	0.1873758972090074	556	other	0.04829323373577695
ENSDARG00000003165	0.6576059907633931	133	other	0.01155215842960132
ENSDARG00000003167	0.4066035197003756	139	other	0.012073308433944238
ENSDARG00000003169	0.4132078762284191	34	other	0.0029531833579431945
ENSDARG00000003175	0.24687085697167502	568	other	0.049335533744462784
ENSDARG00000003189	1.2301607335330418	6	other	5.211500043429167e-4
ENSDARG00000003193	0.11838264142571327	215	other	0.01867454182228785
